id	gpdm	zwdm	name
0	688026.SH	dsz	袁建华
0	000823.SZ	dsz	许统广
0	002879.SZ	dsz	俞涛
0	300102.SZ	dsz	金张育
0	688278.SH	dsz	兰春
0	002787.SZ	dsz	李炳兴
0	603929.SH	dsz	姚祖骧
0	300055.SZ	dsz	王长荣
0	300697.SZ	dsz	陈力皎
0	600321.SH	dsz	何延龙
0	300531.SZ	dsz	GUO SONG
0	300615.SZ	dsz	石伟平
0	000807.SZ	dsz	张正基
0	300418.SZ	dsz	王立伟
0	002920.SZ	dsz	TAN CHOON LIM
0	603236.SH	dsz	钱鹏鹤
0	300459.SZ	dsz	王健
0	300169.SZ	dsz	吴海宙
0	002906.SZ	dsz	邹淦荣
0	300824.SZ	dsz	GEORGE MOHAN ZHANG
0	002821.SZ	dsz	HAO HONG
0	002399.SZ	dsz	李锂
0	002547.SZ	dsz	袁静
0	002089.SZ	dsz	张亦斌
0	000978.SZ	dsz	李飞影
0	000951.SZ	dsz	王德春
0	300460.SZ	dsz	赵积清
0	300812.SZ	dsz	柴明华
0	002703.SZ	dsz	张世权
0	603659.SH	dsz	梁丰
0	000428.SZ	dsz	杨国平
0	300670.SZ	dsz	陈杰
0	002229.SZ	dsz	毛伟
0	300181.SZ	dsz	俞有强
0	300690.SZ	dsz	王庆华
0	300723.SZ	dsz	李捍雄
0	688089.SH	dsz	易德伟
0	688122.SH	dsz	张平祥
0	300363.SZ	dsz	居年丰
0	002941.SZ	dsz	沈金生
0	002300.SZ	dsz	李云孝
0	300106.SZ	dsz	李昌胜
0	000590.SZ	dsz	王书贵
0	000930.SZ	dsz	佟毅
0	002737.SZ	dsz	关玉秀
0	000812.SZ	dsz	袁汉源
0	300684.SZ	dsz	吴晓宁
0	300291.SZ	dsz	方刚
0	002902.SZ	dsz	杨先进
0	002594.SZ	dsz	王传福
0	300264.SZ	dsz	陈坤江
0	600780.SH	dsz	李国彪
0	000612.SZ	dsz	霍斌
0	002081.SZ	dsz	王汉林
0	600866.SH	dsz	陈武
0	000851.SZ	dsz	付景林
0	300523.SZ	dsz	王忠
0	688300.SH	dsz	李晓冬
0	002986.SZ	dsz	胡先念
0	603133.SH	dsz	徐世中
0	002765.SZ	dsz	朱堂福
0	300465.SZ	dsz	于伟
0	300751.SZ	dsz	周剑
