id	gpdm	order	name	gdcg	gdcgbl
0	000035.SZ	8	上海信银海丝投资管理有限公司-珠海市信生永汇投资合伙企业(有限合伙)	52497095.0	2.08
0	000035.SZ	9	国新国控(杭州)投资管理有限公司-国新国同(浙江)投资基金合伙企业(有限合伙)	50475544.0	2.0
0	000036.SZ	0	华联发展集团有限公司	492867760.0	33.21
0	000036.SZ	1	香港中央结算有限公司(陆股通)	41845114.0	2.82
0	000036.SZ	2	中国工商银行-富国中证红利指数增强型证券投资基金	16767995.0	1.13
0	000036.SZ	3	中国建设银行股份有限公司-大成中证红利指数证券投资基金	8845500.0	0.6
0	000036.SZ	4	中国银行股份有限公司-华宝标普中国A股红利机会指数证券投资基金(LOF)	8782193.0	0.59
0	000036.SZ	5	冯书通	8080189.0	0.54
0	000036.SZ	6	中国农业银行股份有限公司-景顺长城沪深300指数增强型证券投资基金	7551894.0	0.51
0	000036.SZ	7	郝洛	7100000.0	0.48
0	000036.SZ	8	柳州佳力房地产开发有限责任公司	6616300.0	0.45
0	000036.SZ	9	王志丰	5913600.0	0.4
0	000037.SZ	0	香港南海洋行(国际)有限公司	92123248.0	15.28
0	000037.SZ	1	深圳广聚实业有限公司	73666824.0	12.22
0	000037.SZ	2	深圳市能源集团有限公司	65106130.0	10.8
0	000037.SZ	3	高华-汇丰-GOLDMAN, SACHS & CO.LLC	12839723.0	2.13
0	000037.SZ	4	BOCI SECURITIES LIMITED	10036082.0	1.67
0	000037.SZ	5	刘芳	9452088.0	1.57
0	000037.SZ	6	招商证券香港有限公司	8062828.0	1.34
0	000037.SZ	7	曾颖	7559600.0	1.25
0	000037.SZ	8	美颐投资置业有限公司	5207800.0	0.86
0	000037.SZ	9	LI SHERYN ZHAN MING	4916090.0	0.82
0	000038.SZ	0	姜剑	112000000.0	21.42
0	000038.SZ	1	朱兰英	103004898.0	19.7
0	000038.SZ	2	青岛亚星实业有限公司	70955745.0	13.57
0	000038.SZ	3	夏东明	28704798.0	5.49
0	000038.SZ	4	曹林芳	20911077.0	4.0
0	000038.SZ	5	深圳市意汇通投资发展有限公司	12419440.0	2.38
0	000038.SZ	6	修涞贵	5994123.0	1.15
0	000038.SZ	7	云南国际信托有限公司-深大通员工持股计划集合资金信托计划	5969078.0	1.14
0	000038.SZ	8	华安未来资管-宁波银行-深大通2号资产管理计划	5484818.0	1.05
0	000038.SZ	9	罗承	4951093.0	0.95
0	000039.SZ	0	香港中央结算(代理人)有限公司	2085974076.0	58.1687
0	000039.SZ	1	中远集装箱工业有限公司	518606212.0	14.4617
0	000039.SZ	2	中信保诚人寿保险有限公司-分红账户	186088378.0	5.19
0	000040.SZ	0	东旭集团有限公司	580419914.0	39.04
0	000040.SZ	1	前海开源基金-浦发银行-国民信托-国民信托·证通7号单一资金信托	43786601.0	2.94
0	000040.SZ	2	天安人寿保险股份有限公司-传统产品	26740000.0	1.8
0	000040.SZ	3	国泓资产-宁波银行-西藏信托-鼎证47号单一资金信托	20276002.0	1.36
