uid	startnode	endnode	reportdate	order	ratio
ed043fe8212742a0acc2bdfb9aea55a0	8493c506dd5ac22814897e97d98def8e	e949cafb60556aa8d7095127bf1b10ce	2018.0	5.0	4.38
2de037ab571842648db2b7c0569b8d48	892307552f19b3c1837979fa38dec421	a59439747624defd5e2ade564f600bc6	2019.0	3.0	3.36
174e0b2e02cc4436864ceb217ba0255a	89456c867b7bef9ca97e0039365bc73f	f0e5eeb230d0384c0ed57fd11998d8cc	2019.0	5.0	5.11
06a54cf1a27d45918ce0d2554abaf13d	8abddf7348f59bb75461c1c2e73a33e5	08d41f8a40e1a14305a104c834c21ab2	2019.0	4.0	3.85
bb56012aa1c044b497e4e3318a23f41a	91c6f3fbca6c1d020ada8d500f37743e	6542d1b19c189a866b48c17ede28b6d0	2019.0	1.0	7.02
086232525b2c4101a8e35eb08bb57440	9365248106d06021deed10aa75f97188	f4be41ded06d46d4563c509c7e529c4e	2019.0	2.0	7.97
563edfc3d5394e02a17efd238177dcbd	95cc9896356bb18409ad453da1e38804	ab455dc2f37386aa50dd1646031aa372	2019.0	2.0	8.93
c07518ff8d434a0bb74e43f8337108fb	98ef23df208861facfad2fee1a06ea1a	29da7f43745121deef5a86bf02152de6	2019.0	2.0	7.41
70e9f64c85934ade9acc068ccbe579c8	9b71d9b35eb57267aa0d1e6c6d0ba460	4d25e7a4962c7e9f32149d33062d60b6	2019.0	1.0	53.86
e203dfef278c4f66adaa51089b35ce74	9eb4864608c0adae10126b63aa170359	bfe142bccbe81773a39a984c47a60979	2019.0	1.0	4.67
e2a1acc1bb1e4bd4af6d5220f8e39a1a	a0042b8b1ab18e8e4469bcee7f768f9a	d15185c0bc3abdac07a26c1b650db28b	2019.0	1.0	16.47
3502180e37094c35817576134bf5dea9	a29ed26c96c1fbe54923b98115e779aa	6b733d5465dbe03bdc300c81d99ee9f7	2019.0	1.0	17.17
1aa5c27230c6454481c78a1a3820205f	a3249d6dd9f2405639be2e13376fd4d5	2ca8ec1b1c56c8a8818d6b856cebf1f2	2017.0	4.0	11
08fdcfd833b24b1bbf4c9dca317dc7bb	a3b9d72914b6aaef51d202cd357d5dbc	9c7bd2ad78684d0b399661047b5035c8	2018.0	5.0	5.01
6bedd42d76814edaa644dbb8fdbcef48	b2d035fd8bf1735e706e5f5e4e3a1297	0be5cf81149b64cbe088ba3b67086718	2019.0	1.0	13.61
d16b51bd8abc4672822b6f09c2f7dbdd	b4a341d84b8b2d3e7135749e22202e27	4030681f22699f30d875997ac696c8a4	2018.0	3.0	5.41
c9122d30114c463d894a3fc1b497de02	ba4c4e910b6c20acd78ea8399e0b392e	5ba921b8ba0fb451e6ccd3e170a821c9	2019.0	3.0	7.3
