uid	startnode	endnode	reportdate	order	amount	ratio
bbbe962ad3eb41dfb409c4330ba59a05	f4d68b9513b3a8db59b2963c29548901	ed6b22972398aa1aec67c56f0a2128d5	""	4	5821697	3.19
687da99f4fb84f2c955b2015bbafe34f	f6cd416de970c1b59f8fb657088050e3	7c9d44aa770b82e9cb0c64029e667ff0	""	9	1000000	0.98
d2a1a4770751465c91d1bb273b622f10	f767e21527989e88bdd28acfbb7c9aeb	40583e9fed42309a99126d5a811f0728	""	4	2130000	0.67
1e8967f588e542208a9b662c1f9ab3a1	fc7f7443fa9a453628782b7424fbd1c4	03a20c1730f5c929eac3a4a9b935706f	""	5	5283000	1.11
70463e7221b14b6abd3a05edf99b6078	fedea2cfbaea7b984013a92b054e1153	6504e975233a51be4b1ec0c57c245fd5	""	5	6023200	0.36
13c3e4d2364640798e0f7f98ce190eb6	0556066fde8b5ef85532dc5c3ffb3856	136a59cfcaeb60708af6ed76b3f00c96	""	1	132802184	7.58
0bbb8e8f94554aa49e6e332cb8e3fec9	07224cd0ae26cd6fe4ae7d544b9a0ba2	af4bb5038415b27f790de8ee2f713520	""	3	5038200	4.67
8a4ce6a59c24409dba3ce95aa8a73413	0bac8c8cb32823819d0e04bb34bb5b5c	a8a2cb10cc68f7c550c2ca9805282c7b	""	8	3527400	0.31
19c8fb27ab0f4ae4981ed206dc5202e8	0e223d59d518bc7aee2be4012487bd41	a3e37ffdd51b80593a9827a2f84a62e0	""	6	25943878	0.79
b44258ab7645485d87116709b5f60ffd	10709be33d941ce1ecf609ff68249408	2c63360d926a5ea0b88098fbf4e266f7	""	4	7022413	0.5
b82b19726da7474990648bde1b36de9a	107874f78dafa416616c88096d563eb7	9b5bf4e435b8343e2fadcf9cab86a0a8	""	4	8192444	3.9
ed2225a6f3a049349e3a97d5fff7704e	1fa8dbe56d2cfdd1a431149f83ad5742	cd0bd978925640768b1d09384ea13642	""	8	8594928	0.77
8bd5ae2246e94f9db51077439c1941d3	20ac505df8670a50e6f26b28df04788f	00b15fb0082edd03ffd18d1eef5de2c3	""	0	56160750	46.8
a735901707cb4b34915f0c5b6cef5d92	26b76fd01fbe2cf4016774a6283516cc	abecdc2f4ac02c14eb9f31503ff4d1fd	""	3	8210500	1.18
129c53f8bdbf40e29354834d1923f34b	33e39491e59ddb13ee8ed1fdd46b0018	e6b5813c702c01f44bbbd4439b9e5a06	""	8	1867888	0.68
f8607fd295aa47ae9cc7799c0b5feace	3540ff5a59338d7abd48c0a332d1f59c	a4710ab5e3d385a066ec626414a7b2d5	""	3	7770000	1.12
818cdb18057b45c99d98622a8adc2459	37aaff6ab309a47255c6645a2a370782	a2bd8497a19dca9b9b3950631a9326ec	""	0	40696961	34.83
4ca244ade2f44c3aab5d559dc89733b4	38acc50248815ecddb55c6e4844f0303	b87f38feede6a1dcf654320279192b23	""	8	1900000	0.18
32aed874b03942f68beec5845970444f	39a455f7587bce1f41d0e1fd18fe3293	b495d353695cb61a1a41f810bd2e632f	""	1	5686100	1.14
c6fa8ac1c7464d66baf821a9ec663aef	41566fea46db49541b356111d00972cc	c1ed5695861d2c0d320c296bc9c8e57c	""	7	2061400	0.4
9bf5bb75e26c484e8e5a15113df563cd	467b65712a659da7b7751b3f6212b277	ad66c7d178d53b493143b5575574806f	""	9	537000	0.2
d93d32deabc744959e4822d74f221eb8	46988ea0f66c357d76a3524f68e597ed	881f14bc1c2dbd0876741ad6f5617429	""	9	5244245	2.59
3cceb29592254acebc0af72b5cc4cf3f	4aefd79abe4610b9763c1f8e0838b6ef	2785daa005956e8c66a1cca00196cd5c	""	6	1881051	0.56
3ef302ed323c408995a23e46132fb7fe	4cfd3475d5e8068124b1fbb9ef0109a3	3425d7951b79e4ea2f634d8440f751d5	""	8	4392960	0.96
ee26e6bc52184e7d91b8eb04b1975b40	51c8895bda82132641b7ac36afe6a8fe	1da6545dc438e75d809ff5d725e5a909	""	1	48327798	11.04
c5c798933fd0469da7406d148eb9f97b	52f9ccc900a53286f1c510e1361b36cc	1ae585a98077c46e0fbcf4d6fa668219	""	5	17883900	7.32
d9a7ce4980e64b55af0898518addaaf1	545106484672c4cecbd4049130ccd7d3	e3a7f688f2ad76ab220a2c68409f4710	""	7	1532970	1.67
dbb2b64d81f7457eb5ea77d4bcb133c0	562eb17b680d4e624538e1f209c18ba8	cde53c33d14e0788888af79660a279d3	""	0	272211184	23.05
1b2f82671b494b2d984cde126b3cce5c	5754f96d5ef1a8852520075ad88b3483	f525a2c82a6579e66c0bd53f73cee54e	""	1	30228166	2.93
f0460dbb1d4742ddadee49307b71ffa8	57f5691574ffc4f044ee1a50289e54de	4174a48be89f867a54121edc72a2471f	""	1	54125791	11.18
b990170374074f29ab592c481e3f63ca	5f1e9b16c6062d9bc5984ed58efae82f	74a3334deda246918842247d3649c9b4	""	7	9726912	1.78
debd16a47ab040aab3364df4ba0f7f85	63f5f9d2b22fc2c6d533ec99c249c947	60aa6137fb15e670874995504aaa563b	""	7	13215026	2.84
8926ec1c40e1425f98e51ea472b9be03	66f93f904f20fa738bfa3651d1505860	895131115a3a1bab2a1bed83b09dbc7a	""	9	1786500	0.22
9238263613cc4a5a86e35cd0f1f119ea	67121069c12e572d9ee0f43ce0ea6bcc	0a4f02ed90b4bed82761116a1ab1daf8	""	8	2150002	0.51
e38cca1b71da49baa044ca1f9da44716	6fa605ac26fb3921d6066a7fb3ea9ba5	6b598958177b0c9f1f18e0aed6e1d23c	""	3	931898	0.54
1b4027abb78e45ed9963121562bf4c1d	73f4c43ec99cc485cb21b05263550e29	a2e7732aa3ae1fb7f901a639daf689fa	""	5	1659000	0.36
763c25980db042678ffa163e13bb6bc1	77180aaafec70fca58a70047d45b3258	466561d9c6bd8d9219b995eb749b70af	""	9	1440000	0.3
f6bb71a3eea24e898d25ed2b437b3820	7948fcd86800bad0d117a73b666f1564	bee1a2b0dfa21f952fa5ad1d259f6d7f	""	2	7213297	6.15
853d3dd3c2fd4c57a197d9decc514f9b	7ba12c609d0c7bfa8338d5bf33243496	99f515cf7bb2287831e8901e23ae971a	""	0	144138394	14
13ca7c273b6a47dcaeb3b1105012c613	7ebbd32c46fadae5c464e4bf57bdb539	78f2682aa7af967c6935a007ff96f514	""	0	768354900	30.22
7679c7faaf0f43eb9d9be5bfec534fe5	836a14054316df2c96140362df9e5326	dd492d61378c1523360459b3bd3b3581	""	8	1640400	0.11
ad53eb30bcf54c099b2946045c8460a5	85c7cc54ed5b29cf3465223e240100ef	fd6acf58bcad61914486a3b63ab4b3e0	""	6	15700787	0.5
870ff04eee68415b98272db1abf3374f	8df0e6576e603c6f084542c42fa3f704	8b63dc029ea86e891bf495008be64962	""	6	3823300	0.29
90f1de361f2f49b192030843791d64ef	8e686f1f2dcb3570c9635707f10be23a	4b9216793128451d43b7a273da05d83a	""	3	28020696	1.44
a36c4c5dee75451e98e600ab354d5e49	8f41418e31bc48552a719ba8a3251d0e	a8a82c200710684d3f406f0dfcb046f2	""	2	14497363	4.71
c4de11f0a86c4db6b7b7cd07a13f3460	90f6bf55d9aeffd3753b1db6587849d4	7664666ff4b995d31a1dafcd6e323fe4	""	5	2844000	0.56
12913b826f1c44b1a3a890b70215e296	922890a85a1def65a0d072e8e999e5a1	6bdcda787e9ffe0d994243eaa1098e93	""	5	64350000	1.02
560e7f78bafd457994f3ebaac381fe3b	93aede0350d9c1d7e2fc630436ccf75f	abecdc2f4ac02c14eb9f31503ff4d1fd	""	8	2250000	0.32
4646456044534e82a74f23b8e4ff2653	98342636f7df74403d192db76e40926a	1afe3d08cc6fad87d7c898c9432eee2c	""	8	1151660	1.44
0bbde07d6200434d89e212fbf68fefda	98e5bca9cfa2c36e269d842bc103a505	3bdc679c29d12db616762e0a7fb8bcb2	""	8	9681488	0.99
7ba54aee7d7349baba5dde43ff91c6f7	9b256a8b55cce78dbe52fb0e99a281f1	5973d793c285f3fe56866e03a90ac665	""	9	200000	0.1
696d8e5f2aaa4fed83114a986c6c2d98	9eeed549ff4b99c4a611182f22f25243	2a27b8e8293bb07a49bff0e5ba21c7e7	""	1	21156611	6.26
b13cb0ce444446f4ae49206e24ec45ae	a0f09e8553a245505801bbb7f3d596a1	7f561eddd23fadc9877a9942b6e7059f	""	7	293100	0.14
7593a2b319c34ae2b322d5a599e059ff	a21c8ac503cff95ebdec43556acee779	7ca7b3d393bb7d79efb493e929bb6cbc	""	5	25756302	3.06
1e5e3135cf83413488ba0784d15d928a	a23d8a0a58d897b53fec87578abbd4c0	4d25b9afb4697683f32d8eb00bf96e87	""	0	35429100	35.43
99e4bd57e1ef4c10be09bea4ba04d1a5	a2cf57d893bc5ffbd4ee2c19298afcc7	69fa96032b45cf611720961c5743357e	""	1	59304470	4.55
a1dda5870f31498592bc04c2491d5d88	aa9769b8c887eeab5f0801fafd0ab56a	24552bb7c6281fc33c38c28f8117a12a	""	3	2458475	2.36
b92d9a8a59ab447a8e4f9aaceb98385d	b213a4101dedc8495bca827748ecfb73	f99e35d2ffa1ae865feb5d1da4fb128b	""	6	1575000	0.76
8f62bcc4c4e8477e836d379b9b111e7f	b26980b0ec1c3e3fac450a2f6b949efa	490118510253fb95e32a632f3e20ba72	""	2	33359040	8.1898
077bec0776e14c83a7bdd6f6f60fb20e	ba8069a9db365edfce2ccf11a7bc2876	90315767e9cfdc2147738391ac9e8515	""	4	18531804	2.62
85c8081bd6984263a3bb94da70e3d157	baa22d7c38051996b3a79da7538032ea	db0513fc489cc81e789327515142efed	""	1	19390152	4.41
0ab61b1734db4de5b0c53833ce5b74de	bd50b2df400717d43ea0f829bee1f719	416a413d0d60a0f52ea2807a35e65235	""	4	3166333	3.29
c1abcd8832504372ab83b6dd69332379	bdb15eb07fb44232af9bb2ce75de2c32	c8b4fe589ef6a2c44a17675072d4aaf7	""	1	9416201	12.64
135a4ef0e25446719aeae17217e03c16	bdb4c0d7529051480410415ca9d0a62b	88ae7615666f9828d1aeecfcbaafd0f2	""	1	225000000	8.96
47a3eeb1cf5f47c090cbf491dd8978f9	bf944452bd0028829a2af4fbd42cad60	550e8ad924e9e4488bc4afd7f15d2a53	""	9	1700000	0.17
9157bd2532b541b89cf935226a620b6e	c0cd35c300b5b82e6466ff165206a825	a1160cb7a5f8d2dfaa6760cc5719c69a	""	9	3087155	0.29
f365d1ee092c4705b826e3e04194c912	c2b1b6579bd89f75ea319d05bd48435a	26cf4538e4a5804cb266125f7e7cc665	""	2	3349900	1.11
61d858715cec48729be0e056f00957cf	c5471c2f5da67d39d83527a218d06603	7b9f0143fb33383ef9ee89dae76928f7	""	6	15427378	2.34
0698ed6f13c5440fa3657fa02eebb13e	c6ee72a7766e47d4255c53a33d0246b4	4cfb2a5bd5d4ab92c7248a3535b6a261	""	1	346321538	10.65
85f3d927c2a14deb94644a966de6243a	c8e9b61365d467240c0eccd34fb52137	beb437a278930d9d78571dea1f81ef37	""	3	14770682	3.04
8c2f1d9eb7cc428c9839a7713890be4f	cb68cd64b7da3e1a142e0050e943b07f	183d6b4a58d5f4f7120fa2453d0b0171	""	4	3303294	0.97
3b7d44c12d6240dc809ebc83961bf813	cbaa98c2b5383db3aedf33dc92bf97f5	24ef8bf96f0def81e5ce1ce72f0bc5b3	""	1	10279921	1.28
ea2477400e7b44d58f5c8b4a2b4866d7	d06ea6336c1d238407a690887b824cf2	40583e9fed42309a99126d5a811f0728	""	9	912868	0.29
35331822d469459bab1be875fac93a03	d1fe56816d2b9d4f26151572f2b687ab	b8857b4d71525ba92b13fbe74de7dc86	""	9	3750036	0.37
816819e39bf041ff83efe0c49610060f	d644936e315081977c052ec1c74d83cd	36fb29cbeddca88fc107094bc076114a	""	5	1006971	0.34
2c5b4f53c4874d5397cdec626e44789a	e1c02b7ea35972daaefac6f042ed3758	7967d2018304e4d66ff52b745fcb870c	""	5	15622107	1.43
6115d00122eb42ec9aa20b806ffa936f	e37b16f78482d5df1e92b4d021bc7593	1b568fe03ac2a9a375dbfdb38c636407	""	1	18214448	21.89
713507f6e5be46dc907fe96a04f8e479	e404a5ae9eec9b04c2d09d57c481e736	107f97728420a5607314cd98cf79e88c	""	4	2468601	1.34
57afc5ca111247de8b752da33e985484	e5d01323c091ca4955683cb25ccd1609	e081c6f8d33db7121c4e94aa9fbbcffa	""	3	20746887	4.04
6d5f4d6a79744e9a81fc6bb64d2425e5	e8e7d1f78d0891cf4b8ce7e37c2011e8	bf0ee30c108fcad8029062f5270a1459	""	2	8747286	0.83
8df05df4283b43008498908d04162d17	ea7f984b9a267db64723ad9f2ef30c29	0b52f43b56bcaa44d7cbcda30ae3311c	""	1	8867880	4.58
79f02ae8243e4f94a3e8be3126fb306a	ef0a9453585509ab1815eaefb49465ae	e87c3cfbe3a91701b21cc4664b56032d	""	6	5400000	4.5
8061dc543e204ddeb3671463b588ae8a	ef17afb6b5ba96e68feb3da99c17a341	4a36642932ecefb030bc7dee9d6f35ac	""	3	6377469	2.11
93ecff605e704800a5bcd5fb7b2f6074	f50b96b76dc7d266e50fbb4224b96b05	fd1f3377ea224efacc872999b5e876fc	""	3	3784000	3.1815
de3d69372a0949ad94102920dea8fac5	f7c3a66e82fda0ebb12aac2792a5a7af	b880e10384bb1a25bf99bc6eed066288	""	9	1820000	1.05
6313270f86034ef49603074635069a69	fe748df58c5ca5d21b4d2ce6dac318df	8f51ea398c71944f9a7659d56b981fd4	""	7	10510409	0.89
b57ba51832ab4b2e84cf9ffac23f05a1	ff4eaafb67af76f2ecc54eeaeceba509	6c7cbdc9f181100c633841362079290e	""	8	600000	0.5
65a847552a164630bcbedde346f0d16a	014e374f9da300291a635d7c6df46f47	efebb6dee7fbe4b3c53b7cc1494ceb99	""	4	4135529	0.54
75cc3444b9e845d086ac5b08e6f0b682	02f69ec05f58195be6df47aad8fd6925	ef000488c6b2536756202b598b2e3b5f	""	4	5499378	0.92
d4752c08e90e41d5b55f1bf4c62ac613	03a00d342b3519a6a40acc4dd671996a	e50644eb958b5c1e12f0ad18c244aaf8	""	2	30408022	4.26
66f45ced5d2e4e51aa02df09566c8fa5	07e525bddb7001bb6a532fb02bf43f24	c56eae3959742b7ac3faa13ef16e2317	""	6	581026	0.93
8ac08a69a0ec4a00939f3690c9ac1f06	10227519a4614ed173dff0386a7e63cc	145d3848091ebf0ed6f13bec08a90428	""	8	1235700	0.3
fecaaa9497ce498eb7dd2d996c503104	1047738d3d0b9e210f0e15070ad826a2	891ff17d2419c40ab1deec2148009698	""	3	44962200	5.07
